year,month,email,account name,balance,net flow
2023,2,user1@mail.ru,Стратежный спекуль,318000,
2024,2,user1@mail.ru,Стратежный спекуль,661000,-130000
2025,2,user1@mail.ru,Стратежный спекуль,183000,
2019,3,user1@mail.ru,Стратежный спекуль,145000,
2020,3,user1@mail.ru,Стратежный спекуль,169000,
2021,3,user1@mail.ru,Стратежный спекуль,410000,
2022,3,user1@mail.ru,Стратежный спекуль,355000,220000
2023,3,user1@mail.ru,Стратежный спекуль,366000,
2024,3,user1@mail.ru,Стратежный спекуль,594000,-95000
2025,3,user1@mail.ru,Стратежный спекуль,195000,-50000
2019,4,user1@mail.ru,Стратежный спекуль,141000,
2020,4,user1@mail.ru,Стратежный спекуль,156000,-20000
2021,4,user1@mail.ru,Стратежный спекуль,571000,100000
2022,4,user1@mail.ru,Стратежный спекуль,413000,8000
2023,4,user1@mail.ru,Стратежный спекуль,346000,
2024,4,user1@mail.ru,Стратежный спекуль,599000,
2025,4,user1@mail.ru,Стратежный спекуль,215000,
2019,5,user1@mail.ru,Стратежный спекуль,143000,
2020,5,user1@mail.ru,Стратежный спекуль,128000,-25000
2021,5,user1@mail.ru,Стратежный спекуль,584000,100000
2022,5,user1@mail.ru,Стратежный спекуль,552000,8000
2023,5,user1@mail.ru,Стратежный спекуль,262000,
2024,5,user1@mail.ru,Стратежный спекуль,517000,
2025,5,user1@mail.ru,Стратежный спекуль,328000,
2019,6,user1@mail.ru,Стратежный спекуль,148000,
2020,6,user1@mail.ru,Стратежный спекуль,96000,-35000
2021,6,user1@mail.ru,Стратежный спекуль,552000,
2022,6,user1@mail.ru,Стратежный спекуль,533000,8000
2023,6,user1@mail.ru,Стратежный спекуль,498000,150000
2024,6,user1@mail.ru,Стратежный спекуль,357000,
2025,6,user1@mail.ru,Стратежный спекуль,347000,-40000
2019,7,user1@mail.ru,Стратежный спекуль,149000,
2020,7,user1@mail.ru,Стратежный спекуль,96000,
2021,7,user1@mail.ru,Стратежный спекуль,618000,200000
2022,7,user1@mail.ru,Стратежный спекуль,491000,-428000
2023,7,user1@mail.ru,Стратежный спекуль,555000,
2024,7,user1@mail.ru,Стратежный спекуль,344000,
2025,7,user1@mail.ru,Стратежный спекуль,289000,-38000
2019,8,user1@mail.ru,Стратежный спекуль,153000,
2020,8,user1@mail.ru,Стратежный спекуль,94000,
2021,8,user1@mail.ru,Стратежный спекуль,462000,
2022,8,user1@mail.ru,Стратежный спекуль,349000,
2023,8,user1@mail.ru,Стратежный спекуль,792000,130000
2024,8,user1@mail.ru,Стратежный спекуль,372000,
2025,8,user1@mail.ru,Стратежный спекуль,340000,-30000
2019,9,user1@mail.ru,Стратежный спекуль,144000,
2020,9,user1@mail.ru,Стратежный спекуль,91000,
2021,9,user1@mail.ru,Стратежный спекуль,520000,
2022,9,user1@mail.ru,Стратежный спекуль,425000,
2023,9,user1@mail.ru,Стратежный спекуль,637000,-9000
2024,9,user1@mail.ru,Стратежный спекуль,372000,
2025,9,user1@mail.ru,Стратежный спекуль,350000,-30000
2019,10,user1@mail.ru,Стратежный спекуль,151000,
2020,10,user1@mail.ru,Стратежный спекуль,77000,
2021,10,user1@mail.ru,Стратежный спекуль,418000,44000
2022,10,user1@mail.ru,Стратежный спекуль,394000,
2023,10,user1@mail.ru,Стратежный спекуль,801000,
2024,10,user1@mail.ru,Стратежный спекуль,221000,
2025,10,user1@mail.ru,Стратежный спекуль,436000,-160000
2019,11,user1@mail.ru,Стратежный спекуль,149000,
2020,11,user1@mail.ru,Стратежный спекуль,71000,-10000
2021,11,user1@mail.ru,Стратежный спекуль,459000,-200000
2022,11,user1@mail.ru,Стратежный спекуль,380000,
2023,11,user1@mail.ru,Стратежный спекуль,825000,-200000
2024,11,user1@mail.ru,Стратежный спекуль,191000,
2025,11,user1@mail.ru,Стратежный спекуль,333000,
2019,12,user1@mail.ru,Стратежный спекуль,150000,
2020,12,user1@mail.ru,Стратежный спекуль,36000,-39000
2021,12,user1@mail.ru,Стратежный спекуль,426000,
2022,12,user1@mail.ru,Стратежный спекуль,556000,-4000
2023,12,user1@mail.ru,Стратежный спекуль,746000,-183000
2024,12,user1@mail.ru,Стратежный спекуль,148000,
2020,6,user1@mail.ru,Тинёк,20000,21000
2020,7,user1@mail.ru,Тинёк,20000,
2020,8,user1@mail.ru,Тинёк,13000,
2020,9,user1@mail.ru,Тинёк,10000,
2020,10,user1@mail.ru,Тинёк,22000,
2020,11,user1@mail.ru,Тинёк,22000,
2020,12,user1@mail.ru,Тинёк,27000,
2021,1,user1@mail.ru,Тинёк,20000,
2022,1,user1@mail.ru,Тинёк,1283000,330000
2023,1,user1@mail.ru,Тинёк,97000,
2021,2,user1@mail.ru,Тинёк,19000,
2022,2,user1@mail.ru,Тинёк,1332000,180000
2023,2,user1@mail.ru,Тинёк,0,-65000
2021,3,user1@mail.ru,Тинёк,19000,
2022,3,user1@mail.ru,Тинёк,1383000,
2021,4,user1@mail.ru,Тинёк,19000,
2022,4,user1@mail.ru,Тинёк,1177000,-3000
2021,5,user1@mail.ru,Тинёк,0,
2022,5,user1@mail.ru,Тинёк,1252000,26000
2021,6,user1@mail.ru,Тинёк,,
2022,6,user1@mail.ru,Тинёк,645000,-379000
2021,7,user1@mail.ru,Тинёк,271000,270000
2022,7,user1@mail.ru,Тинёк,436000,-252000
2021,8,user1@mail.ru,Тинёк,437000,150000
2022,8,user1@mail.ru,Тинёк,249000,-197000
2021,9,user1@mail.ru,Тинёк,660000,230000
2022,9,user1@mail.ru,Тинёк,207000,
2021,10,user1@mail.ru,Тинёк,808000,136000
2022,10,user1@mail.ru,Тинёк,210000,
2021,11,user1@mail.ru,Тинёк,1003000,140000
2022,11,user1@mail.ru,Тинёк,95000,-106000
2021,12,user1@mail.ru,Тинёк,,
2022,12,user1@mail.ru,Тинёк,95000,
